dateID,calendar_date,day_of_the_week_id,holiday_flg
729,29-12-2017,5,0
730,30-12-2017,6,0
731,31-12-2017,7,0
732,01-01-2018,1,0
733,02-01-2018,2,0
734,03-01-2018,3,0
735,04-01-2018,4,0
736,05-01-2018,5,0
737,06-01-2018,6,0
738,07-01-2018,7,0
739,08-01-2018,1,0
740,09-01-2018,2,0
741,10-01-2018,3,1
742,11-01-2018,4,0
743,12-01-2018,5,1
744,13-01-2018,6,1
745,14-01-2018,7,1
746,15-01-2018,1,0
747,16-01-2018,2,0
748,17-01-2018,3,0
749,18-01-2018,4,0
750,19-01-2018,5,0
751,20-01-2018,6,0
752,21-01-2018,7,0
753,22-01-2018,1,0
754,23-01-2018,2,0
755,24-01-2018,3,0
756,25-01-2018,4,0
757,26-01-2018,5,0
758,27-01-2018,6,0
759,28-01-2018,7,0
760,29-01-2018,1,0
761,30-01-2018,2,0
762,31-01-2018,3,0
763,01-02-2018,4,0
764,02-02-2018,5,0
765,03-02-2018,6,0
766,04-02-2018,7,0
767,05-02-2018,1,0
768,06-02-2018,2,0
769,07-02-2018,3,0
770,08-02-2018,4,0
771,09-02-2018,5,0
772,10-02-2018,6,0
773,11-02-2018,7,0
774,12-02-2018,1,0
775,13-02-2018,2,0
776,14-02-2018,3,0
777,15-02-2018,4,0
778,16-02-2018,5,0
779,17-02-2018,6,0
780,18-02-2018,7,1
781,19-02-2018,1,0
782,20-02-2018,2,0
783,21-02-2018,3,1
784,22-02-2018,4,0
785,23-02-2018,5,0
786,24-02-2018,6,0
787,25-02-2018,7,0
788,26-02-2018,1,0
789,27-02-2018,2,0
790,28-02-2018,3,0
791,01-03-2018,4,0
792,02-03-2018,5,0
793,03-03-2018,6,0
794,04-03-2018,7,0
795,05-03-2018,1,0
796,06-03-2018,2,0
797,07-03-2018,3,0
798,08-03-2018,4,0
799,09-03-2018,5,0
800,10-03-2018,6,0
801,11-03-2018,7,1
802,12-03-2018,1,0
803,13-03-2018,2,0
804,14-03-2018,3,0
805,15-03-2018,4,0
806,16-03-2018,5,0
807,17-03-2018,6,0
808,18-03-2018,7,0
809,19-03-2018,1,0
810,20-03-2018,2,0
811,21-03-2018,3,0
812,22-03-2018,4,0
813,23-03-2018,5,0
814,24-03-2018,6,0
815,25-03-2018,7,0
816,26-03-2018,1,0
817,27-03-2018,2,0
818,28-03-2018,3,0
819,29-03-2018,4,0
820,30-03-2018,5,0
821,31-03-2018,6,0
822,01-04-2018,7,0
823,02-04-2018,1,0
824,03-04-2018,2,0
825,04-04-2018,3,1
826,05-04-2018,4,0
827,06-04-2018,5,0
828,07-04-2018,6,0
829,08-04-2018,7,0
830,09-04-2018,1,0
831,10-04-2018,2,0
832,11-04-2018,3,0
833,12-04-2018,4,0
834,13-04-2018,5,0
835,14-04-2018,6,0
836,15-04-2018,7,0
837,16-04-2018,1,0
838,17-04-2018,2,0
839,18-04-2018,3,0
840,19-04-2018,4,0
841,20-04-2018,5,0
842,21-04-2018,6,0
843,22-04-2018,7,0
844,23-04-2018,1,0
845,24-04-2018,2,1
846,25-04-2018,3,0
847,26-04-2018,4,0
848,27-04-2018,5,0
849,28-04-2018,6,0
850,29-04-2018,7,0
851,30-04-2018,1,0
852,01-05-2018,2,0
853,02-05-2018,3,0
854,03-05-2018,4,0
855,04-05-2018,5,0
856,05-05-2018,6,0
857,06-05-2018,7,0
858,07-05-2018,1,0
859,08-05-2018,2,0
860,09-05-2018,3,0
861,10-05-2018,4,0
862,11-05-2018,5,0
863,12-05-2018,6,0
864,13-05-2018,7,0
865,14-05-2018,1,0
866,15-05-2018,2,0
867,16-05-2018,3,0
868,17-05-2018,4,0
869,18-05-2018,5,0
870,19-05-2018,6,0
871,20-05-2018,7,0
872,21-05-2018,1,0
873,22-05-2018,2,0
874,23-05-2018,3,0
875,24-05-2018,4,1
876,25-05-2018,5,0
877,26-05-2018,6,0
878,27-05-2018,7,0
879,28-05-2018,1,0
880,29-05-2018,2,0
881,30-05-2018,3,1
882,31-05-2018,4,1
883,01-06-2018,5,1
884,02-06-2018,6,1
885,03-06-2018,7,1
886,04-06-2018,1,1
887,05-06-2018,2,0
888,06-06-2018,3,0
889,07-06-2018,4,0
890,08-06-2018,5,0
891,09-06-2018,6,0
892,10-06-2018,7,1
893,11-06-2018,1,0
894,12-06-2018,2,0
895,13-06-2018,3,0
896,14-06-2018,4,0
897,15-06-2018,5,0
898,16-06-2018,6,0
899,17-06-2018,7,0
900,18-06-2018,1,0
901,19-06-2018,2,0
902,20-06-2018,3,0
903,21-06-2018,4,0
904,22-06-2018,5,0
905,23-06-2018,6,0
906,24-06-2018,7,0
907,25-06-2018,1,0
908,26-06-2018,2,0
909,27-06-2018,3,0
910,28-06-2018,4,0
911,29-06-2018,5,0
912,30-06-2018,6,0
913,01-07-2018,7,0
914,02-07-2018,1,0
915,03-07-2018,2,0
916,04-07-2018,3,0
917,05-07-2018,4,0
918,06-07-2018,5,0
919,07-07-2018,6,0
920,08-07-2018,7,0
921,09-07-2018,1,0
922,10-07-2018,2,0
923,11-07-2018,3,0
924,12-07-2018,4,0
925,13-07-2018,5,1
926,14-07-2018,6,0
927,15-07-2018,7,0
928,16-07-2018,1,0
929,17-07-2018,2,0
930,18-07-2018,3,0
931,19-07-2018,4,0
932,20-07-2018,5,0
933,21-07-2018,6,0
934,22-07-2018,7,0
935,23-07-2018,1,0
936,24-07-2018,2,0
937,25-07-2018,3,0
938,26-07-2018,4,0
939,27-07-2018,5,0
940,28-07-2018,6,0
941,29-07-2018,7,0
942,30-07-2018,1,0
943,31-07-2018,2,0
944,01-08-2018,3,0
945,02-08-2018,4,0
946,03-08-2018,5,0
947,04-08-2018,6,0
948,05-08-2018,7,0
949,06-08-2018,1,0
950,07-08-2018,2,0
951,08-08-2018,3,0
952,09-08-2018,4,0
953,10-08-2018,5,0
954,11-08-2018,6,0
955,12-08-2018,7,0
956,13-08-2018,1,0
957,14-08-2018,2,0
958,15-08-2018,3,0
959,16-08-2018,4,0
960,17-08-2018,5,0
961,18-08-2018,6,0
962,19-08-2018,7,1
963,20-08-2018,1,0
964,21-08-2018,2,0
965,22-08-2018,3,0
966,23-08-2018,4,0
967,24-08-2018,5,0
968,25-08-2018,6,0
969,26-08-2018,7,0
970,27-08-2018,1,0
971,28-08-2018,2,0
972,29-08-2018,3,0
973,30-08-2018,4,0
974,31-08-2018,5,0
975,01-09-2018,6,0
976,02-09-2018,7,0
977,03-09-2018,1,0
978,04-09-2018,2,0
979,05-09-2018,3,0
980,06-09-2018,4,0
981,07-09-2018,5,0
982,08-09-2018,6,0
983,09-09-2018,7,0
984,10-09-2018,1,0
985,11-09-2018,2,0
986,12-09-2018,3,0
987,13-09-2018,4,0
988,14-09-2018,5,0
989,15-09-2018,6,0
990,16-09-2018,7,0
991,17-09-2018,1,0
992,18-09-2018,2,0
993,19-09-2018,3,0
994,20-09-2018,4,0
995,21-09-2018,5,0
996,22-09-2018,6,0
997,23-09-2018,7,0
998,24-09-2018,1,0
999,25-09-2018,2,0
1000,26-09-2018,3,0
1001,27-09-2018,4,0
1002,28-09-2018,5,1
1003,29-09-2018,6,0
1004,30-09-2018,7,0
1005,01-10-2018,1,0
1006,02-10-2018,2,1
1007,03-10-2018,3,1
1008,04-10-2018,4,1
1009,05-10-2018,5,0
1010,06-10-2018,6,0
1011,07-10-2018,7,0
1012,08-10-2018,1,0
1013,09-10-2018,2,0
1014,10-10-2018,3,0
1015,11-10-2018,4,0
1016,12-10-2018,5,0
1017,13-10-2018,6,0
1018,14-10-2018,7,0
1019,15-10-2018,1,0
1020,16-10-2018,2,0
1021,17-10-2018,3,0
1022,18-10-2018,4,0
1023,19-10-2018,5,0
1024,20-10-2018,6,0
1025,21-10-2018,7,0
1026,22-10-2018,1,0
1027,23-10-2018,2,0
1028,24-10-2018,3,0
1029,25-10-2018,4,0
1030,26-10-2018,5,0
1031,27-10-2018,6,0
1032,28-10-2018,7,0
1033,29-10-2018,1,0
1034,30-10-2018,2,0
