dateID,calendar_date,day_of_week_id,holiday_flg
491,5-5-2017,5,1
492,6-5-2017,6,0
493,7-5-2017,7,0
494,8-5-2017,1,0
495,9-5-2017,2,0
496,10-5-2017,3,0
497,11-5-2017,4,0
498,12-5-2017,5,0
499,13-5-2017,6,0
500,14-5-2017,7,0
501,15-5-2017,1,0
502,16-5-2017,2,0
503,17-5-2017,3,0
504,18-5-2017,4,0
505,19-5-2017,5,0
506,20-5-2017,6,0
507,21-5-2017,7,0
508,22-5-2017,1,0
509,23-5-2017,2,0
510,24-5-2017,3,0
511,25-5-2017,4,0
512,26-5-2017,5,0
513,27-5-2017,6,0
514,28-5-2017,7,0
515,29-5-2017,1,0
516,30-5-2017,2,0
517,31-5-2017,3,0
